SIDFEx TargetID Table
Last Manual Update (Year-DayOfYear): 2021-330
Last Automatic Update (Year-DayOfYear): <autofill>
########## Table Column Description
TargetID: SIDFEx TargetID.
Current_Target: TRUE or FALSE depending on whether or not the target is considered a current SIDFEx target.
Latest_Position_Year: Year of most recent position (auto update).
Latest_Position_DayOfYear: DayOfYear of most recent position (auto update).
Latest_Position_Lat: Latitude of most recent position (auto update).
Latest_Position_Lon: Longitude of most recent position (auto update).
Total_First_Year: Year of first valid position.
Total_First_DayOfYear: DayOfYear of first valid position.
SIDFEx_First_Year: Year of first time when considered as SIDFEx target.
SIDFEx_First_DayOfYear: DayOfYear of first time when considered as SIDFEx target.
SIDFEx_Last_Year: Year of last time when considered as SIDFEx target. NaN if still active.
SIDFEx_Last_DayOfYear: DayOfYear of last time when considered as SIDFEx target. NaN if still active.
Total_Last_Year: Year of last valid position. NaN if still active.
Total_Last_DayOfYear: DayOfYear of last valid position. NaN if still active.
########## Table Data
TargetID Current_Target Latest_Position_Year Latest_Position_DayOfYear Latest_Position_Lat Latest_Position_Lon Total_First_Year Total_First_DayOfYear SIDFEx_First_Year SIDFEx_First_DayOfYear SIDFEx_Last_Year SIDFEx_Last_DayOfYear Total_Last_Year Total_Last_DayOfYear
127317 FALSE <autofill> <autofill> <autofill> <autofill> 2015 198.542 2017 1.000 2017 227.625 2017 227.625
300234060436000 FALSE <autofill> <autofill> <autofill> <autofill> 2015 320.750 2017 1.000 2017 331.250 2017 331.250
300234063991680 FALSE <autofill> <autofill> <autofill> <autofill> 2016 249.854 2017 1.000 2019 326.875 2019 326.875
139939 FALSE <autofill> <autofill> <autofill> <autofill> 2016 194.792 2017 1.000 2018 219.542 2018 305.708
300234063803010 FALSE <autofill> <autofill> <autofill> <autofill> 2017 169.000 2017 169.000 2019 169.833 2019 169.833
300234060834110 FALSE <autofill> <autofill> <autofill> <autofill> 2016 300.792 2017 1.083 2018 173.539 NaN NaN
300234060434550 FALSE <autofill> <autofill> <autofill> <autofill> 2015 272.750 2017 1.000 2018 110.875 2018 110.875
300234062738010 FALSE <autofill> <autofill> <autofill> <autofill> 2016 300.792 2017 1.000 2018 4.500 2018 219.875
300234060430010 FALSE <autofill> <autofill> <autofill> <autofill> 2015 272.750 2017 1.875 2018 43.125 2018 43.125
300234066711310 FALSE <autofill> <autofill> <autofill> <autofill> 2018 88.854 2018 88.854 2018 227.438 2018 227.438
300234066713470 FALSE <autofill> <autofill> <autofill> <autofill> 2018 89.793 2018 89.793 2018 227.272 2018 227.272
300234065495020 TRUE <autofill> <autofill> <autofill> <autofill> 2018 153.958 2018 153.958 NaN NaN NaN NaN
300234066036110 FALSE <autofill> <autofill> <autofill> <autofill> 2018 167.250 2018 167.250 2020 275.625 2020 275.625
300234066030330 FALSE <autofill> <autofill> <autofill> <autofill> 2018 166.625 2018 166.625 2021 32.25 2021 32.25
300234066030190 FALSE <autofill> <autofill> <autofill> <autofill> 2018 166.625 2018 166.625 2019 284.00 NaN NaN
300234066031190 FALSE <autofill> <autofill> <autofill> <autofill> 2018 166.625 2018 166.625 2019 213.000 NaN NaN
300234066830700 FALSE <autofill> <autofill> <autofill> <autofill> 2018 112.167 2018 112.167 2019 196.000 NaN NaN
300234062880820 FALSE <autofill> <autofill> <autofill> <autofill> 2018 317.875 2018 317.875 2020 32.375 2020 32.375
300234065801030 FALSE <autofill> <autofill> <autofill> <autofill> 2018 290.000 2018 290.000 2019 309.000 NaN NaN
300234065802030 FALSE <autofill> <autofill> <autofill> <autofill> 2018 290.000 2018 290.000 2019 291.7917 2019 291.7917
300234061872720 FALSE <autofill> <autofill> <autofill> <autofill> 2018 290.000 2018 290.000 2019 309.000 NaN NaN
FIXED85N130E FALSE NaN NaN 85.000 130.000 2019 210.000 2019 210.000 2019 309.000 NaN NaN
